id,goes_class,noaa_active_region,peak_time,start_time,end_time,ssw_location
gev_20091221_0108,B1.6,1035,2009-12-21 01:13:00,2009-12-21 01:08:00,2009-12-21 01:16:00,POINT(73 30)
gev_20091221_1904,B1.6,1038,2009-12-21 19:07:00,2009-12-21 19:04:00,2009-12-21 19:09:00,POINT(35 16)
gev_20091221_2334,B4.1,1036,2009-12-21 23:38:00,2009-12-21 23:34:00,2009-12-21 23:40:00,POINT(41 -27)
gev_20091222_0356,B5.2,0,2009-12-22 04:01:00,2009-12-22 03:56:00,2009-12-22 04:04:00,POINT(78 27)
gev_20091222_0450,C7.2,1036,2009-12-22 04:56:00,2009-12-22 04:50:00,2009-12-22 05:00:00,POINT(44 -28)
gev_20091222_1125,B4.5,1038,2009-12-22 11:29:00,2009-12-22 11:25:00,2009-12-22 11:34:00,POINT(45 16)
gev_20091222_1317,B2.7,1036,2009-12-22 13:21:00,2009-12-22 13:17:00,2009-12-22 13:25:00,POINT(49 -27)
gev_20091222_1400,C1.0,1038,2009-12-22 14:10:00,2009-12-22 14:00:00,2009-12-22 14:20:00,POINT(46 15)
gev_20091222_1510,C1.1,1036,2009-12-22 15:26:00,2009-12-22 15:10:00,2009-12-22 15:35:00,POINT(51 -27)
gev_20091222_1735,B4.5,1038,2009-12-22 18:00:00,2009-12-22 17:35:00,2009-12-22 18:20:00,POINT(48 14)
gev_20091222_2023,C1.3,1038,2009-12-22 20:27:00,2009-12-22 20:23:00,2009-12-22 20:32:00,POINT(49 16)
gev_20091222_2145,C1.0,0,2009-12-22 22:26:00,2009-12-22 21:45:00,2009-12-22 22:35:00,POINT(-89 -25)
gev_20091223_0336,B8.6,1038,2009-12-23 03:56:00,2009-12-23 03:36:00,2009-12-23 04:05:00,POINT(54 16)
gev_20091223_0945,B1.6,1036,2009-12-23 09:51:00,2009-12-23 09:45:00,2009-12-23 09:54:00,POINT(66 -29)
gev_20091223_1009,C6.4,1036,2009-12-23 10:17:00,2009-12-23 10:09:00,2009-12-23 10:20:00,POINT(61 -27)
gev_20091223_1126,B3.2,1036,2009-12-23 11:33:00,2009-12-23 11:26:00,2009-12-23 11:46:00,POINT(69 -27)
gev_20091223_1241,B3.5,1036,2009-12-23 12:48:00,2009-12-23 12:41:00,2009-12-23 12:50:00,POINT(66 -24)
gev_20091225_2313,B1.0,1039,2009-12-25 23:26:00,2009-12-25 23:13:00,2009-12-25 23:40:00,POINT(-56 -28)
gev_20091226_0725,B1.4,1039,2009-12-26 07:30:00,2009-12-26 07:25:00,2009-12-26 07:39:00,POINT(-50 -27)
gev_20091226_0854,B1.9,1039,2009-12-26 09:10:00,2009-12-26 08:54:00,2009-12-26 09:20:00,POINT(-54 -29)
gev_20091226_1217,B1.0,1039,2009-12-26 12:20:00,2009-12-26 12:17:00,2009-12-26 12:23:00,POINT(-48 -26)
gev_20091226_1651,B4.8,1039,2009-12-26 16:57:00,2009-12-26 16:51:00,2009-12-26 17:05:00,POINT(-43 -27)
gev_20091226_1809,B1.7,1039,2009-12-26 18:12:00,2009-12-26 18:09:00,2009-12-26 18:15:00,POINT(-46 -28)
gev_20091226_1838,B4.6,1039,2009-12-26 18:43:00,2009-12-26 18:38:00,2009-12-26 18:48:00,POINT(-43 -27)
gev_20091227_0721,B2.9,1039,2009-12-27 07:30:00,2009-12-27 07:21:00,2009-12-27 07:33:00,POINT(-36 -27)
gev_20091227_1128,B7.6,1039,2009-12-27 11:39:00,2009-12-27 11:28:00,2009-12-27 11:57:00,POINT(-34 -26)
gev_20091230_2300,B4.8,1039,2009-12-30 23:03:00,2009-12-30 23:00:00,2009-12-30 23:08:00,POINT(9 -28)
gev_20091230_2348,B2.3,1039,2009-12-30 23:51:00,2009-12-30 23:48:00,2009-12-30 23:53:00,POINT(11 -27)
gev_20091230_2354,B1.6,1039,2009-12-31 00:02:00,2009-12-30 23:54:00,2009-12-31 00:08:00,POINT(12 -26)
gev_20091231_0042,B2.6,1039,2009-12-31 00:48:00,2009-12-31 00:42:00,2009-12-31 01:00:00,POINT(10 -27)
gev_20091231_0107,B3.1,1039,2009-12-31 01:12:00,2009-12-31 01:07:00,2009-12-31 01:16:00,POINT(10 -27)
gev_20091231_0330,B2.6,1039,2009-12-31 04:17:00,2009-12-31 03:30:00,2009-12-31 04:39:00,POINT(17 -26)
gev_20091231_0742,B2.9,1039,2009-12-31 07:47:00,2009-12-31 07:42:00,2009-12-31 07:50:00,POINT(13 -29)
gev_20091231_1024,B1.9,1039,2009-12-31 10:27:00,2009-12-31 10:24:00,2009-12-31 10:29:00,POINT(16 -28)
gev_20091231_1054,B1.6,1039,2009-12-31 10:59:00,2009-12-31 10:54:00,2009-12-31 11:06:00,POINT(16 -27)
gev_20091231_1115,B1.9,1039,2009-12-31 11:20:00,2009-12-31 11:15:00,2009-12-31 11:31:00,POINT(18 -29)
gev_20091231_1429,B1.3,1039,2009-12-31 14:32:00,2009-12-31 14:29:00,2009-12-31 14:51:00,POINT(17 -28)
gev_20091231_1537,B1.5,1039,2009-12-31 15:42:00,2009-12-31 15:37:00,2009-12-31 15:46:00,POINT(17 -28)
gev_20091231_1902,B1.8,1039,2009-12-31 19:06:00,2009-12-31 19:02:00,2009-12-31 19:10:00,POINT(23 -31)
